game_id,pair_index,mirror_index,a_is_green,brain_a,brain_b,green_brain,blue_brain,map_size,budget,map_seed,combat_seed,team_turns,elapsed_ms,winner,timed_out,survivors_green,survivors_blue,green_legions,blue_legions,green_draft,blue_draft
744,0,0,true,,,cascade,utility,3,75,11854750961,11854805596,14,0,GREEN,false,3,0,3,3,GOBLIN:10;GOLEM:4;SPIDER:1,ARCHER:1;GOBLIN:12;SCORPION_RIDER:4
745,0,0,true,,,utility,utility,3,75,12123989042,12124011167,8,0,GREEN,false,9,0,2,3,GARGOYLE:5;SCORPION_RIDER:5,MAGE:10;SPIDER:1
746,0,0,true,,,utility,utility,3,75,12123989042,12124011167,6,0,GREEN,false,10,0,2,3,GARGOYLE:5;SCORPION_RIDER:5,MAGE:10;SPIDER:1
747,0,0,true,,,utility,utility,3,75,12123996961,12123987340,15,0,,false,10,9,3,3,ARCHER:5;GOLEM:4;SPIDER:1,ASSASSIN:2;GOBLIN:1;MAGE:8
748,0,0,true,,,utility,utility,3,75,12123996961,12123987340,15,0,,false,10,9,3,3,ARCHER:5;GOLEM:4;SPIDER:1,ASSASSIN:2;GOBLIN:1;MAGE:8
749,0,0,true,,,utility,utility,3,75,12258612042,12258594279,5,0,BLUE,false,0,9,4,3,ARCHER:1;ASSASSIN:8;GOLEM:1;SPIDER:1,ARCHER:4;GOBLIN:1;SCORPION_RIDER:6
750,0,0,true,,,utility,utility,3,75,12258612042,12258594279,5,0,BLUE,false,0,9,4,3,ARCHER:1;ASSASSIN:8;GOLEM:1;SPIDER:1,ARCHER:4;GOBLIN:1;SCORPION_RIDER:6
751,0,0,true,,,utility,utility,3,75,12258619961,12258602132,11,0,GREEN,false,5,0,3,3,GOBLIN:1;SPIDER:24,ARCHER:1;SPIDER:23
752,0,0,true,,,utility,utility,3,75,12258619961,12258602132,11,0,BLUE,false,0,2,3,3,GOBLIN:1;SPIDER:24,ARCHER:1;SPIDER:23
753,0,0,true,,,utility,utility,3,75,12393235042,12393192655,7,0,BLUE,false,0,4,3,2,ARCHER:8;ASSASSIN:3;SPIDER:2,ASSASSIN:5;SCORPION_RIDER:5
